query_id,human_hallucination_label,automatic_hallucination_label,automatic_label_source,final_hallucination_label,review_status,audit_reason,rubric_version,annotator_confidence,source_annotation_file
5ac2a5d455429921a00ab01b,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5adc1309554299438c868d3b,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a83168855429966c78a6b2e,0,1,nli_v2,0,human_label_confirmed,Retrieved context directly states that New Rules is from Dua Lipa's eponymous debut studio album (2017).,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ab698885542995eadef002a,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ab345db55429969a97a8122,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5adf732a5542993a75d264e9,0,1,nli_v2,0,human_label_confirmed,Retrieved context directly states that Donahue replaced Kelli Ward after Ward resigned.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ac2a912554299218029dae8,1,0,nli_v2,1,human_label_confirmed,"Retrieved context states that Hole was formed in 1989 and The Wolfhounds in 1985, so the generated answer Hole is contradicted by the retrieved evidence.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a7272eb5542997f827839d7,1,1,nli_v2,1,agreement_confirmed,"Retrieved context identifies Katniss Everdeen as the continuing protagonist and describes her as 16 in The Hunger Games, but it does not explicitly establish her age in Catching Fire.",rubric_v1.0,medium,rag_50_hallucination_annotation.csv
5ac2c3545542990b17b1548b,0,0,nli_v2,0,agreement_confirmed,Retrieved context states that Korea under Japanese rule ended at the conclusion of World War II.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ae3b4d05542992f92d82349,1,1,nli_v2,1,agreement_confirmed,"Retrieved context links Ava DuVernay to the Good Life Cafe and a 2008 documentary, not to the 2003 film filmed at the Quality Cafe.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a76a401554299373536012b,1,1,nli_v2,1,agreement_confirmed,"Retrieved context lists Paul Lynde among performers whose careers were helped by New Faces of 1952, but it does not support the additional identifying condition that the requested performer is an American actress.",rubric_v1.0,medium,rag_50_hallucination_annotation.csv
5ae3918b5542994393b9e709,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a8efd3c55429918e830d179,1,1,nli_v2,1,agreement_confirmed,"Retrieved context states that Kings of Leon is American but The New Pornographers is Canadian, contradicting the generated answer YES.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a8b63755542997f31a41cfe,0,1,nli_v2,0,human_label_confirmed,Retrieved context directly states that both 750 Seventh Avenue and 101 Park Avenue are in New York City.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ac15df95542994d76dccded,0,1,nli_v2,0,human_label_confirmed,Retrieved context directly states that Kimberly Ann Hart was played by actress Amy Jo Johnson.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a7a02235542996c55b2dcd3,0,0,nli_v2,0,agreement_confirmed,"Retrieved context gives Aleksander Ford's birth year as 1908 and Pablo Trapero's as 1971, supporting Aleksander Ford as the earlier-born person.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ac061ab554299294b218fac,1,1,nli_v2,1,agreement_confirmed,Retrieved context identifies First for Women as a woman's magazine and describes Jane as a magazine designed for women who disliked the typical women's-magazine format; it does not support the generated answer No.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ab5a2f85542997d4ad1f197,0,0,nli_v2,0,agreement_confirmed,Retrieved context directly identifies both Nicholas Ray and Elia Kazan as directors.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5abd7ca05542993062266cab,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a8ce5c7554299441c6b9f64,0,0,nli_v2,0,agreement_confirmed,Retrieved context directly states that The Saimaa Gesture is a documentary of three Finnish rock groups.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a81ff1d554299676cceb1c3,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ae732685542991e8301cbc3,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a8a2ebc5542996c9b8d5e33,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5add28c85542992ae4cec4be,0,1,nli_v2,0,human_label_confirmed,Retrieved context directly states that McClellan Air Force Base is in California.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a7d90195542991319bc93cf,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5abe3f9455429976d4830aaa,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5abee5e25542994516f45473,0,0,nli_v2,0,agreement_confirmed,"The generated text is incomplete, but the factual claim it makes is grounded: retrieved context states that The Chimes album featured Pauline Henry and included the U2 cover.",rubric_v1.0,medium,rag_50_hallucination_annotation.csv
5ae78ec5554299540e5a5605,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a760a5f554299109176e629,0,0,nli_v2,0,agreement_confirmed,Retrieved context identifies Tammy Wynette as the ex-wife who sang the duet and states that she was born in May 1942 and was an American country music singer-songwriter.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a7a52745542996c55b2dd4f,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ac1f7f355429964131be2ae,1,1,nli_v2,1,agreement_confirmed,Retrieved context identifies Reinheitsgebot as the regulation itself and states that it limits ingredients in beer; the generated answer does not answer what must be limited.,rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a74248855429929fddd83e5,1,1,nli_v2,1,agreement_confirmed,"Retrieved context supports that Matthew Barry Mason is Welsh, but it does not identify him as a PSI associate or as the person who died on 10 April 2016.",rubric_v1.0,medium,rag_50_hallucination_annotation.csv
5abd04f15542996e802b467e,1,1,nli_v2,1,agreement_confirmed,"Retrieved context states that Robert Sheehan starred in The Messenger, but it does not explicitly establish within the retrieved evidence that he is the male actor requested by the question.",rubric_v1.0,medium,rag_50_hallucination_annotation.csv
5ac3ad225542995ef918c1da,1,1,nli_v2,1,agreement_confirmed,"Retrieved context establishes that Paloma is tequila-based, but it does not provide evidence about gin and tonic, so the full yes/no comparison is not entailed.",rubric_v1.0,medium,rag_50_hallucination_annotation.csv
5a736bfa5542991f29ee2e03,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5addfe6c5542997dc790710e,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a7a0a965542996c55b2dce7,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a8ae49155429951533613a3,0,1,nli_v2,0,human_label_confirmed,"Retrieved context states that Cynthia Nixon portrayed Miranda Hobbes in Sex and the City and won the 2004 Emmy for that role, with the associated performance also receiving a Screen Actors Guild Award.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a74bdbf5542996c70cfadc7,1,1,nli_v2,1,agreement_confirmed,"Retrieved context states that Bruce Lee portrayed Kato, but it does not establish within the retrieved evidence that Lee Jun-fan and Bruce Lee are the same person.",rubric_v1.0,medium,rag_50_hallucination_annotation.csv
5ab99943554299131ca42391,0,1,nli_v2,0,human_label_confirmed,"Retrieved context directly states that Goodison Park is located in Walton, Liverpool, England.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5a8195f35542995ce29dcc0c,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5ab70446554299110f219a94,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
5adbe1e755429947ff173853,1,0,nli_v2,1,human_label_confirmed,"Retrieved context identifies Ginger Rogers and separately gives 1932 release dates for candidate RKO films, but it does not explicitly link the described actress to the target film, so the year is not fully entailed.",rubric_v1.0,medium,rag_50_hallucination_annotation.csv
5a904e725542995651fb5118,0,,nli_v2,0,abstention_confirmed,"Model returned INSUFFICIENT; under the frozen rubric, abstention does not   make a factual claim and is therefore not hallucination.",rubric_v1.0,high,rag_50_hallucination_annotation.csv
